89999 79999
1 512053488 115999287
1 677894644 767512951
1 190998431 770061199
1 135674253 235494213
1 89554165 898298255
1 500515904 270331807
1 216233451 693280233
1 885190461 776855258
1 47703572 535512851
1 184570191 104813869
1 370424897 969129804
1 807709266 718479553
1 796452344 708973857
1 2382502 388005468
1 410900189 839551418
1 501832054 916028387
1 97707371 490278089
1 170989860 286435912
1 971557790 653608389
1 27319978 191326944
1 363177439 774692499
1 738521212 663509002
1 151394116 505764495
1 133837381 427957567
1 679999806 641748686
1 503718120 402884944
1 187793902 244128402
1 47256928 825723153
1 660109602 561560412
1 80710730 88552784
1 732892277 901783994
1 207954886 141875333
1 370226432 928495843
1 356159088 721846405
1 365718896 332265936
1 944731906 762541871
1 474718106 685458937
1 936186769 25828661
1 483124002 229432307
1 410950797 542636427
1 802065158 554258287
1 283468340 133661334
1 811300478 153458943
1 163583421 567488587
1 139177292 336033639
1 629779988 558340831
1 18113620 78890622
1 142345636 106321494
1 328214788 567936420
1 365616044 751116019
1 978533962 583509186
1 784184449 473871282
1 949215322 953386938
1 455851103 415319272
1 192446726 134730078
1 287722474 411426052
1 856618364 247452838
1 265075673 245752233
1 651182046 839982010
1 450519865 653010311
1 26410882 944536001
1 844243377 773981510
1 909344685 507983674
1 912976770 422894153
1 390418294 990704251
1 50977901 87090601
1 665572842 40438271
1 554077959 692142099
1 989417335 964249202
1 844088533 319002049
1 15623720 33330615
1 804343090 184755765
1 449118977 730605812
1 106001204 91270843
1 207263680 262194326
1 515539907 375679882
1 563723918 603017840
1 899384256 606777937
1 561335444 262124615
1 468463375 788893723
1 866397282 599991914
1 890155727 476218687
1 940442683 333509839
1 480066613 176481490
1 117368526 661302045
1 631043629 676023717
1 309252089 482412661
1 166868135 732080541
1 227187724 118152902
1 841333161 254105079
1 409677095 610363383
1 780396064 434015419
1 812727579 516425333
1 401760519 700456665
1 868096145 88011297
1 727978236 915875493
1 210648065 101956777
1 470553458 557180352
1 519856475 264299329
1 617507282 803906270
1 660840750 758041544
1 39493580 196152137
1 516545667 454124095
1 304906906 674387400
1 34999978 420068124
1 93577736 802979348
1 774300483 64800608
1 3569704 452430168
1 570084035 123321909
1 299472664 682878927
1 654260186 827652040
1 797326978 169540544
1 647499384 222507539
1 435389972 915452653
1 576770562 41652976
1 714296844 753470378
1 47658700 574327725
1 629860383 909539596
1 781628146 459759701
1 622919935 432568420
1 402404409 784897660
1 247276146 589328877
1 81934021 114030376
1 560159911 832294307
1 487327099 3923235
1 405025224 528757356
1 156054913 737389804
1 755531115 933623672
1 659963904 53276351
1 103903672 197788871
1 618859673 704200268
1 730251481 260577140
1 673831244 45942208
1 907812800 885901312
1 508470999 34648780
1 56318656 654846712
1 456278516 8914975
1 199397343 196654481
1 293533668 443399495
1 102951583 21393155
